schema_name,table_name
dm,cross_sell_session_counts
dm,cross_sell_sessions
dm,cust_dim
dm,customer_dimension
dm,customer_dimension_201805
dm,customer_performance_phone
dm,customer_performance_webclicks
dm,customer_professional_history
dm,customer_professional_purchase_map
dm,daily_bot_daily
dm,daily_phone_call
dm,date_dim
dm,date_dim_bkp
dm,date_dim_old
dm,deferred_revenue
dm,deferred_revenue_201806
dm,deferred_revenue_bkp
dm,delivered_ad_weights_simplified
dm,device_category_dim
dm,device_category_render_type_mapping
dm,ec2_test
dm,edw_metrics
dm,etldm_ad_cust_profnl_map
dm,etldm_daily_ad_wght
dm,event_log_fact
dm,event_type_dimension
dm,exact_target_claimed_professional
dm,exact_target_claimed_professional_current
dm,exact_target_pls_claimed_professional
dm,exact_target_user_acct_profile_all_time_1
dm,exact_target_user_acct_profile_all_time_2
dm,exact_target_user_acct_profile_all_time_3
dm,extgt_email_marketing_question
dm,extgt_email_marketing_question_current
dm,extgt_professional_review
dm,extgt_professional_review_current
dm,extgt_question_answer_pageview_current
dm,extgt_question_answer_pageview_detail
dm,extgt_survey_detail
dm,extgt_survey_detail_current
dm,extgt_user_account_profile
dm,extgt_user_account_profile_current
dm,extgt_user_contact_detail
dm,extgt_user_contact_detail_30days
dm,extgt_user_contact_detail_30days_current
dm,extgt_user_contact_detail_current
dm,extgt_user_question_detail
dm,extgt_user_question_detail_current
dm,fee_dimension
dm,foo
dm,full_subscription_price_professional_active_date
dm,full_subscription_price_professional_active_months
dm,full_subscription_price_professional_all_products
dm,full_subscription_price_professional_daily_all_products
dm,ga_demo_201701_201706
dm,ga_weblog_phone_attribution
dm,geo_dim
dm,geography_dimension
dm,geography_dimension_tmp
dm,global_ad_weights_modified
dm,global_ad_weights_modified_newtest
dm,google_id
dm,hist_ad_weights_modified
dm,hist_adwords_geo_performance
dm,hist_chase_payment_reconciliation
dm,hist_claimed_professional_path1_sf
dm,hist_cms_content_qa_guides_topics
dm,hist_deferred_revenue
dm,hist_extgt_email_marketing_question
dm,hist_extgt_professional_review
dm,hist_extgt_question_answer_pageview_detail
dm,hist_extgt_user_account_profile
